Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmpp,TTD,TPD,SCmp,SAtt,SCmpp,MCmp,MAtt,MCmpp,LCmp,LAtt,LCmpp,LAst,LxAG,LxA,LAxAG,LKP,LFTP,LPPA,LCrsPA,LPrgP
554,Carlos Clerc,ESP,"DF,MF",Elche,La Liga,30,1992,29.3,1040,1397,74.4,16100,6659,563,638,88.24451410658307,392,495,79.1919191919192,63,179,35.19553072625698,1,2.1,2.0,-1.1,16,78,18,9,107
555,Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,31,1991,18.2,654,832,78.6,10205,3887,341,386,88.3419689119171,283,346,81.79190751445087,24,73,32.87671232876712,0,0.7,0.6,-0.7,7,51,6,5,52
556,Conor Coady,ENG,DF,Everton,Premier League,29,1993,23.3,1025,1209,84.8,21731,8337,284,302,94.03973509933775,578,622,92.92604501607717,155,267,58.052434456928836,1,0.3,0.5,0.7,4,73,3,1,43
557,Nicolò Cocetta,ITA,DF,Udinese,Serie A,18,2003,0.4,11,12,91.7,170,57,4,4,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
558,Marcus Coco,FRA,"FW,MF",Nantes,Ligue 1,26,1996,7.1,175,244,71.7,2841,897,97,124,78.2258064516129,48,67,71.64179104477611,20,35,57.14285714285714,0,1.1,0.7,-1.1,10,15,8,5,26
559,Alexandre Coeff,FRA,DF,Auxerre,Ligue 1,30,1992,6.5,287,353,81.3,6143,2229,72,88,81.81818181818183,165,183,90.1639344262295,44,68,64.70588235294117,1,0.3,0.1,0.7,1,19,1,0,26
560,Jack Colback,ENG,MF,Nott'ham Forest,Premier League,32,1989,5.5,119,143,83.2,1936,446,61,71,85.91549295774648,48,55,87.27272727272727,8,11,72.72727272727273,0,0.2,0.2,-0.2,2,12,3,1,16
561,Séamus Coleman,IRL,DF,Everton,Premier League,33,1988,18.4,597,789,75.7,9624,3826,306,350,87.42857142857143,237,299,79.26421404682274,42,99,42.42424242424242,0,0.9,0.9,-0.9,4,35,18,7,61
562,David Čolina,CRO,"DF,FW",Augsburg,Bundesliga,22,2000,1.8,41,71,57.7,644,293,25,34,73.52941176470588,9,18,50.0,5,12,41.66666666666667,0,0.1,0.1,-0.1,2,3,2,1,6
563,Álex Collado,ESP,MF,Elche,La Liga,23,1999,8.1,276,336,82.1,4177,909,164,177,92.65536723163842,77,92,83.69565217391305,24,36,66.66666666666666,1,1.6,1.6,-0.6,20,25,10,2,34
564,Diego Collado,ESP,FW,Villarreal,La Liga,21,2001,0.1,5,7,71.4,111,15,2,3,66.66666666666666,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
565,Omar Colley,GAM,DF,Sampdoria,Serie A,29,1992,15.4,615,714,86.1,12155,4062,165,186,88.70967741935483,380,412,92.23300970873787,58,96,60.416666666666664,0,0.0,0.1,0.0,0,38,1,0,33
566,Nathan Collins,IRL,DF,Wolves,Premier League,21,2001,20.2,1001,1138,88.0,20045,6918,304,332,91.56626506024097,566,610,92.78688524590164,114,168,67.85714285714286,0,0.1,0.2,-0.1,2,68,2,0,64
567,Lorenzo Colombo,ITA,FW,Lecce,Serie A,20,2002,16.8,208,332,62.7,2639,568,133,180,73.88888888888889,40,62,64.51612903225806,11,28,39.285714285714285,2,1.4,0.5,0.6,17,14,6,2,21
568,Andrea Colpani,ITA,MF,Monza,Serie A,23,1999,10.5,319,409,78.0,5412,1268,157,180,87.22222222222223,123,145,84.82758620689656,30,55,54.54545454545454,1,1.9,1.8,-0.9,17,28,14,2,51
569,Levi Colwill,ENG,DF,Brighton,Premier League,19,2003,13.6,1027,1165,88.2,17912,7475,431,468,92.09401709401709,501,552,90.76086956521739,75,106,70.75471698113208,2,0.5,0.3,1.5,7,78,3,0,70
570,Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,26,1996,15.7,640,806,79.4,10106,2128,359,406,88.42364532019704,218,269,81.04089219330855,48,78,61.53846153846154,5,5.5,6.5,-0.5,42,26,44,17,70
571,Eray Cömert,SUI,DF,Valencia,La Liga,24,1998,18.6,815,945,86.2,17301,5980,208,234,88.88888888888889,484,514,94.16342412451361,113,170,66.47058823529412,0,0.1,0.2,-0.1,3,48,2,0,54
572,Santi Comesaña,ESP,MF,Rayo Vallecano,La Liga,25,1996,27.2,1024,1240,82.6,16598,5032,533,604,88.24503311258279,377,449,83.96436525612472,83,115,72.17391304347827,2,2.2,2.0,-0.2,41,136,17,2,150
573,Andrea Consigli,ITA,GK,Sassuolo,Serie A,35,1987,35.0,1130,1427,79.2,31355,20598,200,201,99.50248756218906,483,486,99.38271604938271,444,735,60.40816326530612,0,0.0,0.0,0.0,0,16,0,0,1
574,Abdu Conté,POR,DF,Troyes,Ligue 1,24,1998,14.6,591,754,78.4,10401,3886,256,303,84.48844884488449,270,324,83.33333333333334,52,83,62.65060240963856,2,2.0,1.8,0.0,14,41,14,6,56
575,Andrea Conti,ITA,DF,Sampdoria,Serie A,28,1994,0.3,6,11,54.5,76,25,5,7,71.42857142857143,1,3,33.33333333333333,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
576,Lewis Cook,ENG,MF,Bournemouth,Premier League,25,1997,19.1,593,751,79.0,9922,3136,291,330,88.18181818181819,238,274,86.86131386861314,48,93,51.61290322580645,2,2.5,2.3,-0.5,24,55,14,9,63
577,Steve Cook,ENG,DF,Nott'ham Forest,Premier League,31,1991,10.6,369,459,80.4,7884,2511,80,99,80.8080808080808,234,261,89.65517241379311,51,91,56.043956043956044,0,0.6,0.6,-0.6,3,18,2,1,19
578,Liam Cooper,SCO,DF,Leeds United,Premier League,30,1991,15.8,620,789,78.6,11491,4568,241,274,87.95620437956204,318,376,84.57446808510637,52,117,44.44444444444444,0,0.7,0.3,-0.7,5,49,1,1,47
579,Copete,ESP,DF,Mallorca,La Liga,22,1999,24.5,668,880,75.9,13455,5746,232,262,88.54961832061069,319,366,87.1584699453552,106,199,53.266331658291456,0,0.2,0.3,-0.2,3,61,4,1,58
580,Diego Coppola,ITA,DF,Hellas Verona,Serie A,18,2003,13.1,403,557,72.4,7562,3275,145,174,83.33333333333334,222,271,81.91881918819189,32,83,38.55421686746988,0,0.0,0.2,0.0,0,30,3,1,42
581,Francis Coquelin,FRA,MF,Villarreal,La Liga,31,1991,8.3,265,311,85.2,3778,803,152,167,91.01796407185628,80,88,90.9090909090909,14,20,70.0,0,1.0,1.2,-1.0,6,19,3,1,29
582,Sébastien Corchia,FRA,DF,Nantes,Ligue 1,31,1990,8.7,257,371,69.3,4354,1895,120,150,80.0,103,151,68.21192052980133,23,45,51.11111111111111,1,0.3,0.4,0.7,5,18,7,5,29
583,Alex Cordaz,ITA,GK,Inter,Serie A,39,1983,0.3,11,20,55.0,274,200,4,4,100.0,3,4,75.0,4,11,36.36363636363637,0,0.0,0.0,0.0,0,0,0,0,0
584,Maxwel Cornet,CIV,FW,West Ham,Premier League,25,1996,2.7,72,97,74.2,942,166,47,54,87.03703703703704,19,27,70.37037037037037,2,2,100.0,0,0.1,0.1,-0.1,1,3,1,1,5
585,Jesús Corona,MEX,FW,Sevilla,La Liga,29,1993,1.2,33,42,78.6,446,40,22,22,100.0,8,13,61.53846153846154,2,4,50.0,0,0.2,0.2,-0.2,3,1,2,0,3
586,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,27,1995,16.2,406,520,78.1,5237,1201,270,310,87.09677419354838,93,118,78.8135593220339,16,37,43.24324324324324,1,3.5,3.6,-2.5,23,27,19,3,58
587,Joaquín Correa,ARG,FW,Inter,Serie A,27,1994,10.6,224,283,79.2,3438,691,119,142,83.80281690140845,82,96,85.41666666666666,13,14,92.85714285714286,1,1.3,1.0,-0.3,15,23,9,0,29
588,Thierry Correia,POR,DF,Valencia,La Liga,23,1999,22.3,1047,1363,76.8,17275,6276,569,640,88.90625,362,466,77.6824034334764,98,194,50.51546391752577,0,1.1,2.1,-1.1,14,101,26,14,104
589,Alessandro Cortinovis,ITA,MF,Hellas Verona,Serie A,21,2001,0.1,5,6,83.3,77,35,3,3,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,2,1,2
590,Danny da Costa,GER,DF,Mainz 05,Bundesliga,29,1993,13.7,372,607,61.3,6633,3228,140,181,77.34806629834254,191,298,64.09395973154362,27,85,31.76470588235294,2,1.0,1.3,1.0,11,37,21,8,62
591,David Pereira da Costa,POR,"MF,FW",Lens,Ligue 1,21,2001,15.6,615,761,80.8,9640,2690,311,351,88.6039886039886,239,297,80.47138047138047,37,59,62.71186440677966,3,4.1,4.2,-1.1,29,69,32,4,117
592,Diego Costa,ESP,FW,Wolves,Premier League,33,1988,13.8,158,221,71.5,1870,312,93,118,78.8135593220339,45,56,80.35714285714286,2,5,40.0,0,0.7,0.7,-0.7,11,9,4,0,13
593,Jaume Costa,ESP,DF,Mallorca,La Liga,34,1988,28.9,854,1165,73.3,14099,5450,440,505,87.12871287128714,336,449,74.83296213808464,66,139,47.482014388489205,1,2.5,2.7,-1.5,31,55,31,17,74
594,Logan Costa,CPV,DF,Toulouse,Ligue 1,21,2001,4.6,194,230,84.3,3783,1708,65,74,87.83783783783784,93,103,90.29126213592234,31,44,70.45454545454545,0,0.2,0.1,-0.2,2,15,2,0,18
595,Nuno da Costa,CPV,"FW,MF",Auxerre,Ligue 1,31,1991,22.3,261,381,68.5,4170,1230,124,183,67.75956284153006,87,112,77.67857142857143,27,41,65.85365853658537,4,3.7,2.3,0.3,25,22,12,5,32
596,Samu Costa,POR,MF,Almería,La Liga,21,2000,22.1,864,1097,78.8,15886,5134,383,439,87.24373576309794,368,428,85.98130841121495,102,169,60.35502958579882,2,1.0,1.0,1.0,13,68,11,0,91
597,Benoît Costil,FRA,GK,Auxerre,Ligue 1,35,1987,19.0,414,593,69.8,13801,10403,54,54,100.0,173,179,96.64804469273743,186,357,52.10084033613446,0,0.0,0.0,0.0,0,11,0,0,1
598,Vladimír Coufal,CZE,DF,West Ham,Premier League,29,1992,23.7,730,1174,62.2,12756,6471,347,421,82.42280285035629,279,438,63.6986301369863,83,226,36.72566371681416,1,2.5,1.7,-1.5,26,68,19,14,82
599,Lassana Coulibaly,MLI,MF,Salernitana,Serie A,26,1996,32.1,978,1174,83.3,15588,4473,489,554,88.26714801444044,399,453,88.0794701986755,57,92,61.95652173913043,3,1.8,1.5,1.2,20,91,10,1,120
600,Soumaïla Coulibaly,FRA,DF,Dortmund,Bundesliga,18,2003,0.5,45,46,97.8,851,279,11,11,100.0,34,34,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,6
601,Tanguy Coulibaly,FRA,"FW,DF",Stuttgart,Bundesliga,21,2001,3.6,98,141,69.5,1412,420,61,70,87.14285714285714,29,40,72.5,5,13,38.46153846153847,0,0.5,0.7,-0.5,6,8,4,1,12
602,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,1992,31.0,980,1136,86.3,23008,14737,219,220,99.54545454545455,560,567,98.76543209876543,196,341,57.478005865102645,0,0.4,0.0,-0.4,2,6,1,0,0
603,Mathieu Coutadeur,FRA,MF,Ajaccio,Ligue 1,36,1986,21.6,1006,1197,84.0,16929,4490,464,526,88.212927756654,386,449,85.96881959910914,106,150,70.66666666666667,0,1.0,1.4,-1.0,10,100,7,1,110
604,Philippe Coutinho,BRA,"MF,FW",Aston Villa,Premier League,30,1992,8.8,288,384,75.0,4081,976,180,210,85.71428571428571,82,112,73.21428571428571,17,36,47.22222222222222,0,0.5,0.8,-0.5,8,30,8,2,48
605,Yan Couto,BRA,"DF,MF",Girona,La Liga,20,2002,12.9,444,598,74.2,7221,2170,229,262,87.40458015267176,158,212,74.52830188679245,39,73,53.42465753424658,2,2.4,2.1,-0.4,19,33,20,11,55
606,Conor Coventry,IRL,"MF,FW",West Ham,Premier League,22,2000,0.0,0,0,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
607,Nicolas Cozza,FRA,DF,"Montpellier,Wolfsburg","Ligue 1,Bundesliga",23,1999,15.299999999999999,462,636,147.5,7987,3360,220,267,82.39700374531836,196,250,78.4,33,79,41.77215189873418,1,0.8,0.8,0.2,7,30,7,3,52
609,Alessio Cragno,ITA,GK,Monza,Serie A,28,1994,1.0,29,31,93.5,621,431,7,7,100.0,18,18,100.0,4,6,66.66666666666666,0,0.0,0.0,0.0,0,0,0,0,0
610,Matthew Craig,SCO,MF,Tottenham,Premier League,19,2003,0.2,5,6,83.3,65,1,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
611,Aaron Cresswell,ENG,DF,West Ham,Premier League,32,1989,24.8,1127,1448,77.8,18285,8587,626,670,93.43283582089552,387,497,77.8672032193159,100,206,48.54368932038835,1,3.7,2.9,-2.7,40,91,28,15,145
612,Bryan Cristante,ITA,"MF,DF",Roma,Serie A,27,1995,32.6,1381,1679,82.3,25923,8226,571,647,88.25347758887172,590,666,88.58858858858859,182,296,61.48648648648649,1,1.4,2.0,-0.4,16,157,17,4,142
613,Domen Črnigoj,SVN,MF,Salernitana,Serie A,26,1995,3.3,79,111,71.2,1189,263,42,55,76.36363636363637,31,36,86.11111111111111,4,10,40.0,0,0.4,0.6,-0.4,2,8,0,0,3
614,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,30,1992,22.9,746,985,75.7,12722,5613,350,395,88.60759493670885,319,406,78.57142857142857,64,137,46.715328467153284,0,1.0,1.0,-1.0,15,66,17,10,68
615,Juan Cruz,ESP,FW,Betis,La Liga,22,2000,2.0,25,39,64.1,282,72,17,19,89.47368421052632,5,11,45.45454545454545,0,4,0.0,0,0.1,0.1,-0.1,2,0,0,0,1
616,Juan Cuadrado,COL,"DF,FW",Juventus,Serie A,34,1988,23.1,1113,1323,84.1,21481,5507,468,520,90.0,460,526,87.45247148288973,170,231,73.59307359307358,3,2.7,2.3,0.3,42,62,24,10,92
617,Marc Cucurella,ESP,DF,Chelsea,Premier League,24,1998,18.6,1090,1293,84.3,16587,5116,600,647,92.73570324574962,396,453,87.41721854304636,59,110,53.63636363636364,2,0.6,0.9,1.4,11,77,12,6,73
618,Jorge Cuenca,ESP,DF,Villarreal,La Liga,22,1999,5.6,334,384,87.0,6357,2355,111,119,93.27731092436974,191,204,93.62745098039215,28,51,54.90196078431373,0,0.1,0.2,-0.1,1,21,2,0,26
619,Braian Cufré,ARG,DF,Mallorca,La Liga,25,1996,2.4,76,92,82.6,1256,437,40,43,93.02325581395348,25,29,86.20689655172413,7,12,58.333333333333336,0,0.0,0.1,0.0,1,4,1,0,7
620,Mickaël Cuisance,FRA,MF,Sampdoria,Serie A,22,1999,6.9,176,223,78.9,3034,819,81,87,93.10344827586206,69,82,84.14634146341463,20,40,50.0,0,0.7,0.6,-0.7,6,13,8,0,23
621,Matheus Cunha,BRA,FW,"Wolves,Atlético Madrid","Premier League,La Liga",23,1999,14.899999999999999,235,319,148.39999999999998,2930,556,153,187,81.81818181818183,47,66,71.21212121212122,12,21,57.14285714285714,2,1.4,0.6000000000000001,0.6,13,11,5,0,21
623,Curro,ESP,MF,Almería,La Liga,26,1996,0.5,21,28,75.0,310,133,10,12,83.33333333333334,4,6,66.66666666666666,3,4,75.0,0,0.2,0.2,-0.2,2,1,1,0,1
624,Marco D'Alessandro,ITA,"DF,FW",Monza,Serie A,31,1991,3.2,79,115,68.7,1182,302,50,57,87.71929824561403,23,36,63.888888888888886,4,9,44.44444444444444,0,0.2,0.1,-0.2,3,4,0,0,3
625,Danilo D'Ambrosio,ITA,DF,Inter,Serie A,33,1988,8.1,493,557,88.5,8396,2823,212,222,95.4954954954955,246,270,91.11111111111111,26,51,50.98039215686274,2,0.7,0.6,1.3,7,26,5,1,34
626,Luca D'Andrea,ITA,FW,Sassuolo,Serie A,17,2004,3.5,61,84,72.6,896,334,32,42,76.19047619047619,24,31,77.41935483870968,3,6,50.0,1,0.8,0.4,0.2,10,6,3,2,9
627,Damien Da Silva,FRA,DF,Lyon,Ligue 1,34,1988,3.8,217,254,85.4,4247,1562,66,75,88.0,122,138,88.40579710144928,25,35,71.42857142857143,0,0.0,0.1,0.0,0,14,2,0,18
628,Moanes Dabbur,ISR,FW,Hoffenheim,Bundesliga,30,1992,10.4,204,287,71.1,2458,730,134,173,77.45664739884393,49,69,71.01449275362319,5,12,41.66666666666667,2,2.2,2.2,-0.2,16,14,8,0,33
629,Andréa Dacourt,FRA,MF,Nice,Ligue 1,17,2005,0.0,0,0,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
630,Colin Dagba,FRA,"DF,MF",Strasbourg,Ligue 1,23,1998,10.6,401,496,80.8,5529,2050,260,290,89.65517241379311,116,148,78.37837837837837,12,31,38.70967741935484,0,0.8,0.8,-0.8,12,26,15,8,31
631,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24,1998,8.0,185,280,66.1,5576,4122,32,32,100.0,87,87,100.0,65,160,40.625,0,0.0,0.0,0.0,0,10,0,0,0
632,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,26,1996,3.7,213,259,82.2,3941,1179,89,103,86.40776699029125,91,93,97.84946236559139,30,45,66.66666666666666,0,0.5,0.2,-0.5,4,25,1,0,25
633,Patson Daka,ZAM,FW,Leicester City,Premier League,23,1998,13.2,195,295,66.1,2605,439,118,157,75.15923566878982,55,85,64.70588235294117,8,12,66.66666666666666,4,2.8,1.7,1.2,17,7,8,1,17
634,Thijs Dallinga,NED,FW,Toulouse,Ligue 1,21,2000,26.1,327,522,62.6,4337,720,200,288,69.44444444444444,89,145,61.37931034482759,12,18,66.66666666666666,1,2.0,1.3,-1.0,22,19,5,1,30
635,Diogo Dalot,POR,DF,Manchester Utd,Premier League,23,1999,23.9,1141,1441,79.2,20816,6349,468,527,88.8045540796964,543,639,84.97652582159625,113,205,55.1219512195122,2,1.9,1.5,0.1,29,82,28,13,92
636,Muhammed Damar,GER,MF,Hoffenheim,Bundesliga,18,2004,1.8,52,65,80.0,686,179,30,34,88.23529411764706,19,21,90.47619047619048,0,2,0.0,0,0.2,0.1,-0.2,3,5,1,0,9
637,Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,22,2000,11.0,275,407,67.6,4023,1437,156,193,80.82901554404145,92,132,69.6969696969697,16,44,36.36363636363637,0,1.4,1.3,-1.4,11,36,10,1,44
638,Flavius Daniliuc,AUT,DF,"Salernitana,Nice","Serie A,Ligue 1",21,2001,25.4,1026,1190,176.5,18998,7372,412,453,90.94922737306842,490,540,90.74074074074075,104,157,66.2420382165605,2,0.6,0.2,1.4,8,57,3,1,74
640,Danilo,BRA,MF,Nott'ham Forest,Premier League,21,2001,10.8,148,235,63.0,2539,979,77,97,79.38144329896907,53,73,72.6027397260274,16,34,47.05882352941176,2,0.7,0.6,1.3,9,24,7,0,34
641,Danilo,BRA,DF,Juventus,Serie A,31,1991,35.4,1884,2225,84.7,36469,13783,701,778,90.10282776349614,914,998,91.58316633266533,249,392,63.52040816326531,3,2.4,1.3,0.6,19,187,13,3,176
642,Arnaut Danjuma,NED,"FW,MF","Tottenham,Villarreal","Premier League,La Liga",25,1997,7.199999999999999,109,151,143.3,1513,277,73,96,76.04166666666666,28,36,77.77777777777779,2,5,40.0,0,0.4,0.4,-0.4,6,8,5,2,2
644,Kévin Danois,FRA,MF,Auxerre,Ligue 1,18,2004,0.0,1,1,100.0,8,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
645,Kevin Danso,AUT,DF,Lens,Ligue 1,23,1998,35.9,2103,2336,90.0,39503,14272,709,769,92.19765929778933,1184,1267,93.44909234411996,187,257,72.76264591439688,2,1.0,1.3,1.0,10,157,3,0,163
646,Dante,BRA,DF,Nice,Ligue 1,38,1983,36.7,2376,2643,89.9,45941,18236,861,908,94.8237885462555,1220,1286,94.86780715396579,257,388,66.23711340206185,2,1.7,1.5,0.3,12,154,9,0,160
647,Márton Dárdai,GER,"DF,MF",Hertha BSC,Bundesliga,20,2002,10.5,225,378,59.5,4843,2114,66,91,72.52747252747253,120,162,74.07407407407408,38,115,33.04347826086956,0,0.2,0.2,-0.2,4,19,2,0,21
648,Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,36.9,1181,1628,72.5,22446,8537,488,563,86.6785079928952,509,619,82.22940226171244,163,362,45.027624309392266,3,7.5,6.3,-4.5,73,158,52,16,233
649,Achraf Dari,MAR,DF,Brest,Ligue 1,23,1999,14.6,547,690,79.3,12287,4337,123,144,85.41666666666666,308,343,89.79591836734694,106,183,57.92349726775956,0,0.0,0.1,0.0,1,25,0,0,33
650,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31,1990,0.3,8,12,66.7,101,6,5,6,83.33333333333334,2,3,66.66666666666666,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
651,Matteo Darmian,ITA,DF,Inter,Serie A,32,1989,22.5,1190,1376,86.5,21419,7160,477,512,93.1640625,598,664,90.06024096385542,97,155,62.58064516129033,2,1.9,2.0,0.1,19,68,18,10,88
652,Josh Dasilva,ENG,MF,Brentford,Premier League,23,1998,15.4,491,617,79.6,8103,1954,255,291,87.62886597938144,187,217,86.17511520737328,40,70,57.14285714285714,2,1.5,1.6,0.5,12,35,24,5,62
653,David Datro Fofana,CIV,FW,Chelsea,Premier League,19,2002,0.8,7,9,77.8,122,82,4,5,80.0,2,2,100.0,1,1,100.0,0,0.1,0.1,-0.1,3,0,2,0,2
654,Jonathan David,CAN,FW,Lille,Ligue 1,22,2000,35.2,716,875,81.8,9883,2246,423,495,85.45454545454545,215,255,84.31372549019608,28,30,93.33333333333333,4,6.1,5.7,-2.1,53,54,34,2,95
655,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,2000,22.7,1361,1567,86.9,21727,5882,721,786,91.73027989821882,542,600,90.33333333333333,76,116,65.51724137931035,4,3.7,4.3,0.3,44,110,39,5,133
656,Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,25.4,1040,1281,81.2,17332,5962,500,559,89.44543828264759,445,514,86.57587548638132,69,136,50.73529411764706,2,2.5,1.5,-0.5,20,79,9,6,107
657,Tom Davies,ENG,MF,Everton,Premier League,24,1998,6.0,173,234,73.9,2879,850,87,111,78.37837837837837,64,76,84.21052631578947,16,29,55.172413793103445,0,0.2,0.3,-0.2,2,25,2,0,30
658,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,27,1995,18.1,613,827,74.1,11131,4374,258,296,87.16216216216216,277,354,78.24858757062147,69,146,47.26027397260274,1,0.8,0.3,0.2,5,47,2,0,60
659,Craig Dawson,ENG,DF,"West Ham,Wolves",Premier League,32,1990,23.7,1025,1236,163.2,21606,7709,305,343,88.92128279883383,540,592,91.21621621621621,170,272,62.5,0,0.1,0.30000000000000004,-0.1,1,76,3,0,62
661,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,1991,26.9,1192,1626,73.3,22165,6516,538,633,84.99210110584518,477,629,75.83465818759937,160,275,58.18181818181818,16,13.7,14.1,2.3,96,124,96,21,246
662,Charles De Ketelaere,BEL,"MF,FW",Milan,Serie A,21,2001,12.4,299,383,78.1,4161,1234,183,225,81.33333333333333,95,110,86.36363636363636,11,16,68.75,1,2.0,1.8,-1.0,20,28,19,0,59
663,Manuel De Luca,ITA,"FW,MF",Sampdoria,Serie A,24,1998,0.5,5,8,62.5,66,1,3,5,60.0,2,3,66.66666666666666,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
664,Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,19,2003,0.0,3,5,60.0,85,20,1,2,50.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
665,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,21.4,1160,1421,81.6,19936,6409,593,655,90.53435114503817,383,455,84.17582417582418,144,223,64.57399103139014,7,5.6,3.8,1.4,48,145,47,7,182
666,Mattia De Sciglio,ITA,DF,Juventus,Serie A,29,1992,11.6,450,569,79.1,8035,3019,189,227,83.25991189427313,213,252,84.52380952380952,44,75,58.666666666666664,0,0.5,0.4,-0.5,8,51,8,6,50
667,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34,1988,7.5,330,430,76.7,5002,2370,182,202,90.0990099009901,127,168,75.59523809523809,11,40,27.500000000000004,0,0.2,0.2,-0.2,6,29,4,1,31
668,Thibault De Smet,BEL,DF,Reims,Ligue 1,24,1998,19.5,878,1123,78.2,14328,5398,413,486,84.97942386831275,387,467,82.86937901498929,53,112,47.32142857142857,1,1.3,1.8,-0.3,12,86,20,9,89
669,Koni De Winter,BEL,DF,Empoli,Serie A,20,2002,11.4,424,494,85.8,7908,2790,166,181,91.71270718232044,226,249,90.76305220883533,31,58,53.44827586206896,0,0.2,0.1,-0.2,2,15,1,0,22
670,Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31,1991,13.0,211,250,84.4,2451,347,138,151,91.3907284768212,46,56,82.14285714285714,3,9,33.33333333333333,1,0.5,0.2,0.5,9,12,1,0,10
671,Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19,2003,0.0,0,0,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
672,Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31,1991,20.1,518,664,78.0,8008,2371,278,331,83.98791540785498,196,242,80.99173553719008,30,49,61.224489795918366,1,1.7,2.1,-0.7,17,56,25,0,96
673,Romain Del Castillo,FRA,"MF,FW",Brest,Ligue 1,26,1996,15.8,448,673,66.6,7887,2950,215,279,77.06093189964157,146,207,70.53140096618358,66,137,48.175182481751825,6,4.2,4.2,1.8,36,44,36,9,75
674,Alberto Del Moral,ESP,MF,Villarreal,La Liga,22,2000,0.1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
675,Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,30,1992,11.9,356,537,66.3,5526,1983,174,216,80.55555555555556,155,218,71.10091743119266,14,61,22.950819672131146,2,1.4,2.5,0.6,9,14,18,13,21
676,Thomas Delaney,DEN,MF,"Sevilla,Hoffenheim","La Liga,Bundesliga",30,1991,6.699999999999999,250,326,153.3,4245,1340,116,133,87.21804511278195,105,127,82.67716535433071,21,46,45.65217391304348,0,0.1,0.7,-0.1,3,14,3,1,21
678,Sacha Delaye,FRA,"FW,MF",Montpellier,Ligue 1,20,2002,0.2,8,14,57.1,86,52,6,8,75.0,1,3,33.33333333333333,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
679,Fran Delgado,ESP,DF,Betis,La Liga,21,2001,0.1,7,8,87.5,110,13,4,4,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
680,Andy Delort,ALG,FW,"Nice,Nantes",Ligue 1,30,1991,13.899999999999999,212,368,113.3,3268,839,120,188,63.829787234042556,61,108,56.481481481481474,20,45,44.44444444444444,1,2.0999999999999996,1.5,-1.1,20,23,12,4,28
682,Karamoko Dembele,SCO,"FW,MF",Brest,Ligue 1,19,2003,2.0,59,89,66.3,938,232,34,41,82.92682926829268,16,30,53.333333333333336,6,10,60.0,0,0.2,0.2,-0.2,3,3,2,1,5
683,Moussa Dembélé,FRA,"FW,MF",Lyon,Ligue 1,26,1996,9.7,138,191,72.3,1752,364,72,99,72.72727272727273,45,59,76.27118644067797,3,6,50.0,0,0.3,0.5,-0.3,4,8,11,0,23
684,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,1997,15.7,642,854,75.2,10068,2037,376,427,88.05620608899297,195,256,76.171875,54,106,50.943396226415096,7,4.9,5.0,2.1,41,21,37,5,74
